"Root"|"Meaning in English"|"Origin language"|"Etymology (root origin)"|"English examples
"|
"<b>sphing-</b>, <b>sphinct-</b>"|"strangle"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%86%CE%AF%CE%B3%CE%B3%CF%89#Ancient_Greek"" class=""extiw"" title=""wikt:σφίγγω"">σφίγγειν</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>sphíngein</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%A3%CF%86%CE%AF%CE%B3%CE%BE#Ancient_Greek"" class=""extiw"" title=""wikt:Σφίγξ"">Σφίγξ</a></span> <i>sphings</i>, <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">σφιγκτήρ</span>"|"sphincter
"|
"<b>sphondyl-</b>"|"vertebra"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%86%CF%8C%CE%BD%CE%B4%CF%85%CE%BB%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:σφόνδυλος"">σφόνδυλος, σφονδύλου</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>sphóndulos, sphondúlou</i></span>)"|"<a href=""/wiki/Spondylitis"" title=""Spondylitis"">spondylitis</a>, <a href=""/wiki/Spondylolisthesis"" title=""Spondylolisthesis"">spondylolisthesis</a>, <a href=""/wiki/Spondylolysis"" title=""Spondylolysis"">spondylolysis</a>, <a href=""/wiki/Spondylosis"" title=""Spondylosis"">spondylosis</a>, <a href=""/wiki/Temnospondyli"" title=""Temnospondyli"">Temnospondyli</a>
"|
"<b>sphrag-</b>"|"seal"|"Greek"|"<span lang=""grc"" title=""Ancient Greek (to 1453) language text"">σφραγίς</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>sphragís</i></span>), (<i>sphragistikós</i>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">σφραγίζω</span>"|"sphragistic
"|
"<b>sphyg-</b>"|"pulse"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%86%CF%8D%CE%B6%CF%89#Ancient_Greek"" class=""extiw"" title=""wikt:σφύζω"">σφύζειν</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>sphúzein</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">σφυγμός</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>sphugmós</i></span>), (<i>sphugmikós</i>), (<i>sphúxis</i>)"|"asphyxia, sphygmic, sphygmochronograph, sphygmograph, <a href=""/wiki/Sphygmomanometer"" title=""Sphygmomanometer"">sphygmomanometer</a>, sphygmus
"|
"<b>spic-</b>"|"spike"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/spica#Latin"" class=""extiw"" title=""wikt:spica"">spica</a></i>"|"spica, spicate, spicose, spicosity, spicular, spiculate, spicule, spiculiform
"|
"<b>spin-</b>"|"thorn"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/spina#Latin"" class=""extiw"" title=""wikt:spina"">spina</a></i>"|"infraspinate, <a href=""/wiki/Infraspinatus_muscle"" title=""Infraspinatus muscle"">infraspinatus</a>, interspinal, spinal, spine, <a href=""/wiki/Spinel"" title=""Spinel"">spinel</a>, spinescent, spiniferous, spiniform, spinose, spinous
"|
"<b>spir-</b>"|"breathe"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/spiro#Latin"" class=""extiw"" title=""wikt:spiro"">spirare</a></i>"|"aspire, conspire, expire, inspire, perspire, respiration, spirit
"|
"<b>splen-</b>"|"<a href=""/wiki/Spleen"" title=""Spleen"">spleen</a>"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%80%CE%BB%CE%AE%CE%BD#Ancient_Greek"" class=""extiw"" title=""wikt:σπλήν"">σπλήν</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>splḗn</i></span>), <i>splēnikós</i>"|"<a href=""/wiki/Asplenia"" title=""Asplenia"">asplenia</a>, hypersplenism, hyposplenia, <a href=""/wiki/Polysplenia"" title=""Polysplenia"">polysplenia</a>, <a href=""/wiki/Splenectomy"" title=""Splenectomy"">splenectomy</a>, splenic, <a href=""/wiki/Splenitis"" class=""mw-redirect"" title=""Splenitis"">splenitis</a>, splenoid, <a href=""/wiki/Splenomegaly"" title=""Splenomegaly"">splenomegaly</a>
"|
"<b><a href=""#spend-"">spond-</a></b>"|"Greek"|""|"
"|
"<b>spond-</b>, <b>spons-</b>"|"a surety, guarantee; give assurance, promise solemnly"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/spondeo#Latin"" class=""extiw"" title=""wikt:spondeo"">spondere</a></i>, <i lang=""la"" title=""Latin language text"">sponsus</i>"|"correspond, correspondence, correspondent, corresponsive, cosponsor, despond, despondency, despondent, desponsage, desponsate, desponsation, disespouse, espousage, espousal, espouse, interspousal, irresponsibility, irresponsible, irresponsive, nonresponsive, respond, respondee, respondence, respondent, response, responsibility, responsible, responsion, responsive, responsivity, <a href=""/wiki/Riposte"" title=""Riposte"">riposte</a>, sponsal, sponsion, sponsional, sponsor, spousal, <a href=""/wiki/Spouse"" title=""Spouse"">spouse</a>
"|
"<b>spondyl-</b>"|"vertebra"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%80%CF%8C%CE%BD%CE%B4%CF%85%CE%BB%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:σπόνδυλος"">σπόνδυλος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>spóndulos</i></span>)"|"platyspondyly, spondylid, <a href=""/wiki/Spondylolisthesis"" title=""Spondylolisthesis"">spondylolisthesis</a>, spondylolysis, spondylopyosis, spondyloschisis, <a href=""/wiki/Spondylosis"" title=""Spondylosis"">spondylosis</a>, spondylosyndesis, <a href=""/wiki/Spondylus"" title=""Spondylus"">Spondylus</a>
"|
"<b><a href=""#speir-"">spor-</a></b>"|"Greek"|""|"
"|
"<b>spu-</b>, <b>sput-</b>"|"spew, spit"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/spuo#Latin"" class=""extiw"" title=""wikt:spuo"">spuere</a></i>"|"exspuition, <a href=""/wiki/Sputum"" title=""Sputum"">sputum</a>
"|
"<b>squal-</b>"|"scaly, dirty, filthy"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/squaleo#Latin"" class=""extiw"" title=""wikt:squaleo"">squalere</a></i>"|"squalid, squalidity, squalor
"|
"<b>squam-</b>"|"scale"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/squama#Latin"" class=""extiw"" title=""wikt:squama"">squama</a></i>"|"squamous
"|
"<b>squarros-</b>"|"spreading at tips"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/squarrosus#Latin"" class=""extiw"" title=""wikt:squarrosus"">squarrosus</a></i>"|"squarrose
"|
"<b>st-</b> (ΣΤΑ)"|"cause to stand"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%B5%CF%83%CF%84%CE%B7%CE%BC%CE%B9#Ancient_Greek"" class=""extiw"" title=""wikt:ἵστημι"">ἵστημι</a></span> <i>histēmi</i>, <i>histánai</i>, στατικός, στάσις, στατήρ, στήλη"|"acrostatic, actinostele, anastasis, antistatic, apostasy, <a href=""/wiki/Apostate"" class=""mw-redirect"" title=""Apostate"">apostate</a>, astasia, <a href=""/wiki/Astasis"" title=""Astasis"">astasis</a>, astatic, <a href=""/wiki/Astatine"" title=""Astatine"">astatine</a>, <a href=""/wiki/Catastasis"" title=""Catastasis"">catastasis</a>, <a href=""/wiki/Chronostasis"" title=""Chronostasis"">chronostasis</a>, <a href=""/wiki/Diastase"" title=""Diastase"">diastase</a>, diastasis, diastatic, <a href=""/wiki/Diasystem"" title=""Diasystem"">diasystem</a>, ecstasy, ecstatic, <a href=""/wiki/Epistasis"" title=""Epistasis"">epistasis</a>, <a href=""/wiki/Episteme"" title=""Episteme"">episteme</a>, <a href=""/wiki/Epistemic"" class=""mw-redirect"" title=""Epistemic"">epistemic</a>, <a href=""/wiki/Epistemology"" title=""Epistemology"">epistemology</a>, <a href=""/wiki/Eustasis"" class=""mw-redirect"" title=""Eustasis"">eustasis</a>, <a href=""/wiki/Eustatic"" class=""mw-redirect"" title=""Eustatic"">eustatic</a>, eustele, haplostele, <a href=""/wiki/Homeostasis"" title=""Homeostasis"">homeostasis</a>, homeostatic, hydrostatic, hypostasis, hypostasize, hypostatic, hypostatize, mesostatic, <a href=""/wiki/Metastasis"" title=""Metastasis"">metastasis</a>, metastasize, metastatic, <a href=""/wiki/Metasystem"" class=""mw-redirect"" title=""Metasystem"">metasystem</a>, <a href=""/wiki/Orthostates"" title=""Orthostates"">orthostates</a>, orthostatic, <a href=""/wiki/Protostele"" class=""mw-redirect"" title=""Protostele"">protostele</a>, <a href=""/wiki/Stasimon"" title=""Stasimon"">stasimon</a>, stasis, <a href=""/wiki/Stater"" title=""Stater"">stater</a>, <a href=""/wiki/Statics"" title=""Statics"">static</a>, statoblast, statocyst, statolith, <a href=""/wiki/Stela"" class=""mw-redirect"" title=""Stela"">stela</a>, <a href=""/wiki/Stele"" title=""Stele"">stele</a>, systasis, system, systematic, systematize, systematology, systemic, teleutostatic
"|
"<b>st-</b>"|"<a href=""/wiki/Standing"" title=""Standing"">stand</a>"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/sto#Latin"" class=""extiw"" title=""wikt:sto"">stare</a></i> ""to stand"", also causative form <i lang=""la""><a href=""https://en.wiktionary.org/wiki/statuere#Latin"" class=""extiw"" title=""wikt:statuere"">statuere</a></i> ""to enact, set"", from <i lang=""la""><a href=""https://en.wiktionary.org/wiki/status#Latin"" class=""extiw"" title=""wikt:status"">status</a></i> ""condition, position"""|"<a href=""/wiki/Antestature"" title=""Antestature"">antestature</a>, <a href=""/wiki/Arrest"" title=""Arrest"">arrest</a>, arrestant, <a href=""/wiki/Arrestee"" class=""mw-redirect"" title=""Arrestee"">arrestee</a>, <a href=""/wiki/Bistability"" title=""Bistability"">bistability</a>, bistable, bistate, circumstance, circumstantial, consist, <a href=""/wiki/Constable"" title=""Constable"">constable</a>, constabulary, constancy, constant, constitute, <a href=""/wiki/Consubstantiation"" title=""Consubstantiation"">consubstantiation</a>, contrast, <a href=""/wiki/Distance"" title=""Distance"">distance</a>, distant, equidistance, equidistant, establish, estate, extant, inconstancy, inconstant, instability, instance, instant, obstacle, presto, stable, stamen, stamina, stance, stanchion, stanza, state, station, stationary, statistic, statue, status, staunch, stay, <a href=""/wiki/Chemical_substance"" title=""Chemical substance"">substance</a>, substantial, substantiality, substantiate, substantiation, <a href=""/wiki/Substantive"" class=""mw-redirect"" title=""Substantive"">substantive</a>, <a href=""/wiki/Substate"" class=""mw-redirect"" title=""Substate"">substate</a>, <a href=""/wiki/Electrical_substation"" title=""Electrical substation"">substation</a>, substitute, <a href=""/wiki/Superstation"" title=""Superstation"">superstation</a>, <a href=""/wiki/Superstition"" title=""Superstition"">superstition</a>, superstitious, transubstantiate, <a href=""/wiki/Transubstantiation"" title=""Transubstantiation"">transubstantiation</a>, tristate
"|
"<b>stagn-</b>"|"pool of standing water"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/stagno#Latin"" class=""extiw"" title=""wikt:stagno"">stagnare</a></i>"|"stagnant
"|
"<b>stala-</b>"|"dripping, trickling"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%84%CE%B1%CE%BB%CE%B1%CE%BA%CF%84%CF%8C%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:σταλακτός"">σταλακτός</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>stalaktós</i></span>) and <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%84%CE%B1%CE%BB%CE%B1%CE%B3%CE%BC%CF%8C%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:σταλαγμός"">σταλαγμός</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>stalagmós</i></span>), both from <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%84%CE%B1%CE%BB%CE%AC%CE%B6%CE%B5%CE%B9%CE%BD#Ancient_Greek"" class=""extiw"" title=""wikt:σταλάζειν"">σταλάζειν</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>stalázein</i></span>) ""to drip"""|"<a href=""/wiki/Stalactite"" title=""Stalactite"">stalactite</a>, <a href=""/wiki/Stalagmite"" title=""Stalagmite"">stalagmite</a>
"|
"<b>stann-</b>"|"tin"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/stannum#Latin"" class=""extiw"" title=""wikt:stannum"">stannum</a></i>"|"stannous
"|
"<b>staphyl-</b><sup id=""cite_ref-179"" class=""reference""><a href=""#cite_note-179"">[178]</a></sup>"|"bunch of grapes"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%84%CE%B1%CF%86%CF%85%CE%BB%CE%AE#Ancient_Greek"" class=""extiw"" title=""wikt:σταφυλή"">σταφυλή</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>staphulḗ</i></span>)"|"staphyledema, staphylion, staphylococcus, staphyloderma, staphyloplasty
"|
"<b>statu-</b>, <b><span class=""nowrap"">-stitu-</span></b>"|"stand"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/statuo#Latin"" class=""extiw"" title=""wikt:statuo"">statuere</a></i>"|"institution, statute
"|
"<b>steat-</b><sup id=""cite_ref-180"" class=""reference""><a href=""#cite_note-180"">[179]</a></sup>"|"fat, tallow"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%84%CE%AD%CE%B1%CF%81#Ancient_Greek"" class=""extiw"" title=""wikt:στέαρ"">στέαρ, στέατος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>stéar, stéatos</i></span>)"|"<a href=""/wiki/Stearic_acid"" title=""Stearic acid"">stearic acid</a>, steatolysis, steatolytic, steatosis
"|
"<b>steg-</b><sup id=""cite_ref-181"" class=""reference""><a href=""#cite_note-181"">[180]</a></sup>"|"cover"|"Greek"|"στέγειν, <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%84%CE%AD%CE%B3%CE%B7#Ancient_Greek"" class=""extiw"" title=""wikt:στέγη"">στέγη</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>stégē</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">στεγανός</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>steganós</i></span>)"|"<a href=""/wiki/Steganography"" title=""Steganography"">steganography</a>, <a href=""/wiki/Steganopod"" class=""mw-redirect"" title=""Steganopod"">steganopod</a>, <i><a href=""/wiki/Stegosaurus"" title=""Stegosaurus"">Stegosaurus</a></i>
"|
"<b>stell-</b>, <b>stol-</b><sup id=""cite_ref-182"" class=""reference""><a href=""#cite_note-182"">[181]</a></sup>"|"send"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%84%CE%AD%CE%BB%CE%BB%CF%89#Ancient_Greek"" class=""extiw"" title=""wikt:στέλλω"">στέλλω</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>stéllō</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%84%CE%AC%CE%BB%CF%83%CE%B9%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:στάλσις"">στάλσις</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>stálsis</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">στολή</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>stolḗ</i></span>)"|"apostle, centrostaltic, <a href=""/wiki/Diastole"" title=""Diastole"">diastole</a>, epistle, epistolic, epistolize, epistolography, eusystole, <a href=""/wiki/Hypodiastole"" title=""Hypodiastole"">hypodiastole</a>, <a href=""/wiki/Peristalsis"" title=""Peristalsis"">peristalsis</a>, peristaltic, peristole, stole, systaltic, <a href=""/wiki/Systole"" title=""Systole"">systole</a>
"|
"<b>stell-</b>"|"star"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/stella#Latin"" class=""extiw"" title=""wikt:stella"">stella</a></i>"|"<a href=""/wiki/Constellation"" title=""Constellation"">constellation</a>, stellar
"|
"<b>sten-</b>"|"stand"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%84%CE%B5%CE%BD%CE%B1%CE%AF#Ancient_Greek"" class=""extiw"" title=""wikt:στεναί"">στεναί</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>stenaí</i></span>)"|"apostasy, apostate
"|
"<b>sten-</b><sup id=""cite_ref-183"" class=""reference""><a href=""#cite_note-183"">[182]</a></sup>"|"narrow"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%84%CE%B5%CE%BD%CF%8C%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:στενός"">στενός</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>stenós</i></span>)"|"<a href=""/wiki/Stenography"" class=""mw-redirect"" title=""Stenography"">stenography</a>, stenosis
"|
"<b>stere-</b><sup id=""cite_ref-184"" class=""reference""><a href=""#cite_note-184"">[183]</a></sup>"|"solid"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%84%CE%B5%CF%81%CE%B5%CF%8C%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:στερεός"">στερεός</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>stereós</i></span>)"|"allosteric, <a href=""/wiki/Stereochemistry"" title=""Stereochemistry"">stereochemistry</a>, stereochromy, stereographic, <a href=""/wiki/Stereography"" class=""mw-redirect"" title=""Stereography"">stereography</a>, <a href=""/wiki/Stereoisomer"" class=""mw-redirect"" title=""Stereoisomer"">stereoisomer</a>, <a href=""/wiki/Stereometry"" class=""mw-redirect"" title=""Stereometry"">stereometry</a>, stereophonic, <a href=""/wiki/Stereopsis"" title=""Stereopsis"">stereopsis</a>, <a href=""/wiki/Stereoscope"" title=""Stereoscope"">stereoscope</a>, <a href=""/wiki/Stereoscopy"" title=""Stereoscopy"">stereoscopy</a>, stereotaxis, stereotomy, stereotype, stereotypic, steric
"|
"<b>stern-</b><sup id=""cite_ref-185"" class=""reference""><a href=""#cite_note-185"">[184]</a></sup>"|"breastbone"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%84%CE%AD%CF%81%CE%BD%CE%BF%CE%BD#Ancient_Greek"" class=""extiw"" title=""wikt:στέρνον"">στέρνον</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>stérnon</i></span>)"|"<a href=""/wiki/Metasternum"" class=""mw-redirect"" title=""Metasternum"">metasternum</a>, <a href=""/wiki/Prosternum"" class=""mw-redirect"" title=""Prosternum"">prosternum</a>, sternum
"|
"<b>stern-</b>, <b>strat-</b>"|"spread, strew"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/sterno#Latin"" class=""extiw"" title=""wikt:sterno"">sternere</a></i>, <i lang=""la"" title=""Latin language text"">stratus</i>"|"consternation, prostrate, stratify, stratum, stratus, street
"|
"<b>steth-</b><sup id=""cite_ref-186"" class=""reference""><a href=""#cite_note-186"">[185]</a></sup>"|"chest"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%84%E1%BF%86%CE%B8%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:στῆθος"">στῆθος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>stêthos</i></span>)"|"stethoscope
"|
"<b>sthen-</b><sup id=""cite_ref-187"" class=""reference""><a href=""#cite_note-187"">[186]</a></sup>"|"strength"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CE%B8%CE%AD%CE%BD%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:σθένος"">σθένος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>sthénos</i></span>)"|"asthenia, <a href=""/wiki/Asthenosphere"" title=""Asthenosphere"">asthenosphere</a>, callisthenics, hyposthenia, <a href=""/wiki/Sth%C3%A8ne"" title=""Sthène"">sthène</a>, sthenia
"|
"<b>stich-</b><sup id=""cite_ref-188"" class=""reference""><a href=""#cite_note-188"">[187]</a></sup>"|"line, row"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%84%CE%B5%CE%AF%CF%87%CF%89#Ancient_Greek"" class=""extiw"" title=""wikt:στείχω"">στείχειν</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>steíkhein</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%84%CE%AF%CF%87%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:στίχος"">στίχος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>stíkhos</i></span>)"|"<a href=""/wiki/Acrostic"" title=""Acrostic"">acrostic</a>, <a href=""/wiki/Cadastre"" title=""Cadastre"">cadastre</a>, distich, <a href=""/wiki/Distichous"" class=""mw-redirect"" title=""Distichous"">distichous</a>, haplostichous, <a href=""/wiki/Hemistich"" title=""Hemistich"">hemistich</a>, heptastich, monostich, monostichous, orthostichy, <a href=""/wiki/Pentastich"" class=""mw-redirect"" title=""Pentastich"">pentastich</a>, polystichia, polystichous, stich, stichic, stichomancy, <a href=""/wiki/Stichometry"" title=""Stichometry"">stichometry</a>, <a href=""/wiki/Stichomythia"" title=""Stichomythia"">stichomythia</a>, telestich
"|
"<b>stich-</b><sup id=""cite_ref-189"" class=""reference""><a href=""#cite_note-189"">[188]</a></sup>"|"tunic"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%84%CE%AF%CF%87%CE%B7#Ancient_Greek"" class=""extiw"" title=""wikt:στίχη"">στίχη</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>stíkhē</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">στιχάριον</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>stikhárion</i></span>)"|"<a href=""/wiki/Sticharion"" title=""Sticharion"">sticharion</a>
"|
"<b>stig-</b><sup id=""cite_ref-190"" class=""reference""><a href=""#cite_note-190"">[189]</a></sup>"|"mark, puncture"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%84%CE%AF%CE%B6%CF%89#Ancient_Greek"" class=""extiw"" title=""wikt:στίζω"">στίζειν</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>stízein</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">στίξις</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>stíxis</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%84%CE%AF%CE%B3%CE%BC%CE%B1#Ancient_Greek"" class=""extiw"" title=""wikt:στίγμα"">στίγμα, στίγματος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>stígma, stígmatos</i></span>)"|"<a href=""/wiki/Anastigmat"" title=""Anastigmat"">anastigmat</a>, anastigmatic, astigmatic, <a href=""/wiki/Astigmatism"" title=""Astigmatism"">astigmatism</a>, <i lang=""en""><a href=""https://en.wiktionary.org/wiki/stigma#English"" class=""extiw"" title=""wikt:stigma"">stigma</a></i>, stigmatic
"|
"<b>still-</b>"|"drip"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/stilla#Latin"" class=""extiw"" title=""wikt:stilla"">stilla</a></i>, <i lang=""la"" title=""Latin language text"">stillare</i>"|"distillation, instill
"|
"<b>stimul-</b>"|"goad, rouse, excite"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/stimulus#Latin"" class=""extiw"" title=""wikt:stimulus"">stimulus</a></i>"|"stimulate
"|
"<b>stin-</b>"|"stand"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/stinare#Latin"" class=""extiw"" title=""wikt:stinare"">stinare</a></i>"|"destination, obstinate
"|
"<b>stingu-</b>, <b>stinct-</b>"|"apart"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/stinguo#Latin"" class=""extiw"" title=""wikt:stinguo"">stinguere</a></i>"|"distinction, distinguish
"|
"<b>stoch-</b><sup id=""cite_ref-191"" class=""reference""><a href=""#cite_note-191"">[190]</a></sup>"|"aim"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%84%CF%8C%CF%87%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:στόχος"">στόχος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>stókhos</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">στοχαστικός</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>stokhastikós</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">στόχασμα</span>"|"<a href=""/wiki/Stochastic"" title=""Stochastic"">stochastic</a>
"|
"<b>stom-</b>"|"mouth"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CF%83%CF%84%CF%8C%CE%BC%CE%B1#Ancient_Greek"" class=""extiw"" title=""wikt:στόμα"">στόμα, στόματος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>stóma, stómatos</i></span>)"|"<a href=""/wiki/Anastomosis"" title=""Anastomosis"">anastomosis</a>, anastomotic, <a href=""/wiki/Deuterostome"" title=""Deuterostome"">deuterostome</a>, monostomous, ozostomia, pentastomid, <a href=""/wiki/Protostome"" title=""Protostome"">protostome</a>, <a href=""/wiki/Stoma"" title=""Stoma"">stoma</a>, <a href=""/wiki/Stomach"" title=""Stomach"">stomach</a>, stomatalgia, stomatic, stomatoplasty, -stome
"|
